2015/02/16,   31,   40,   10
2015/02/17,   25,   40,   10
2015/02/18,   15,   30,    0
2015/02/19,   58,   70,   30
2015/02/20,   79,   90,   60
2015/02/21,   37,   80,   20
2015/02/22,   49,  110,   20
2015/02/23,   70,  110,   50
2015/02/24,   57,   80,   20
2015/02/25,   38,   60,   20
2015/02/26,   48,   70,   20
2015/02/27,   42,   80,   20
2015/02/28,   60,   90,   30
2015/03//01,   73,   90,   30
2015/03//02,   58,   90,   40
2015/03//03,   56,  100,   30
2015/03//04,   46,   60,   30
2015/03//05,   20,   30,   10
2015/03//06,   36,   50,   20
2015/03//07,   45,   60,   30
2015/03//08,   38,   60,   20
2015/03//09,   15,   30,   10
2015/03//10,   28,   50,   10
2015/03//11,   26,   40,   10
2015/03//12,   28,   60,    0
2015/03//13,   41,   80,   20
2015/03//14,   50,   60,   40
2015/03//15,   45,   60,   30
2015/03//16,   25,   40,   10
2015/03//17,   28,   50,   10
2015/03//18,   30,   50,   10
2015/03//19,   23,   30,   20
2015/03//20,   23,   40,   10
2015/03//21,   44,   70,   30
2015/03//22,   48,   70,   10
2015/03//23,   20,   30,   10
2015/03//24,   21,   40,   10
2015/03//25,   26,   40,   20
2015/03//26,   45,   90,   20
2015/03//27,   37,   60,   10
2015/03//28,   54,   80,   20
2015/03//29,   83,  110,   50
2015/03//30,   68,  100,   30
2015/03//31,  100,  130,   50
2015/04/01,   72,  100,   50
2015/04/02,   52,   80,   20
2015/04/03,   20,   30,   10
2015/04/04,   46,   70,   10
2015/04/05,   28,   40,   20
2015/04/06,   16,   30,   10
2015/04/07,   20,   40,   10
2015/04/08,   24,   40,    0
2015/04/09,   16,   30,   10
2015/04/10,   23,   40,   10
2015/04/11,   50,   80,   10
2015/04/12,   45,   60,   20
2015/04/13,   28,   50,   10
2015/04/14,   46,   70,   20
2015/04/15,   36,   50,   20
2015/04/16,   47,   60,   20
2015/04/17,   60,   70,   50
2015/04/18,   44,   70,   20
2015/04/19,   41,   60,   30
2015/04/20,   41,   60,   20
2015/04/21,   31,   50,   10
2015/04/22,   38,   50,   20
2015/04/23,   23,   40,   10
2015/04/24,   31,   50,   10
2015/04/25,   31,   40,   20
2015/04/26,   29,   40,   10
2015/04/27,   48,   60,   30
2015/04/28,   35,   60,    0
2015/04/29,   42,   70,   20
2015/04/30,   39,   60,   20
2015/05/01,   28,   40,   10
2015/05/02,   25,   40,   10
2015/05/03,   38,   60,   10
2015/05/04,   36,   60,   20
2015/05/05,   65,  120,   20
2015/05/06,   69,   90,   40
2015/05/07,   43,   60,   10
2015/05/08,   19,   40,   10
2015/05/09,   59,   80,   30
2015/05/10,   23,   30,   10
2015/05/11,   30,   50,   20
2015/05/12,   33,   60,   10
2015/05/13,   33,   60,   10
2015/05/14,   33,   50,   10
2015/05/15,   36,   50,   10
2015/05/16,   36,   60,    0
2015/05/17,   29,   40,   10
2015/05/18,   53,   80,   20
2015/05/19,   65,   80,   40
2015/05/20,   35,   50,   10
2015/05/21,   27,   40,   10
2015/05/22,   20,   30,   10
2015/05/23,   28,   60,   10
2015/05/24,   20,   30,   10
2015/05/25,   33,   50,   20
2015/05/26,   33,   60,   10
2015/05/27,   25,   40,   10
2015/05/28,   45,   80,   10
2015/05/29,   48,   70,   30
2015/05/30,   34,   70,   10
2015/05/31,   61,   80,   30
2015/06/01,   30,   50,   10
2015/06/02,   69,   90,   50
2015/06/03,   42,   70,   10
2015/06/04,   33,   50,   10
2015/06/05,   30,   50,   10
2015/06/06,   31,   40,   20
2015/06/07,   31,   60,    0
2015/06/08,   67,   90,   60
2015/06/09,   63,   80,   50
2015/06/10,   52,   70,   40
2015/06/11,   44,   60,   20
2015/06/12,   34,   50,   20
2015/06/13,   45,   70,   20
2015/06/14,   27,   50,   10
2015/06/15,   48,   60,   30
2015/06/16,   45,   60,   20
2015/06/17,   32,   60,    0
2015/06/18,   41,   60,   20
2015/06/19,   28,   40,   20
2015/06/20,   21,   30,   10
2015/06/21,   41,   70,   20
2015/06/22,   38,   50,   10
2015/06/23,   40,   70,   20
2015/06/24,   24,   40,   10
2015/06/25,   26,   40,   10
2015/06/26,   30,   40,   10
2015/06/27,   36,   60,   10
2015/06/28,   16,   30,   10
2015/06/29,   22,   30,   10
2015/06/30,   25,   50,    0
2015/07/01,   31,   50,   10
2015/07/02,   29,   60,   10
2015/07/03,   28,   50,   10
2015/07/04,   33,   50,   20
2015/07/05,   28,   80,   10
2015/07/06,   32,   40,   10
2015/07/07,   45,   80,   20
2015/07/08,   66,   90,   50
2015/07/09,   34,   60,   10
